羅馬化巴利	中譯
nidānakathā	導論
Dhammasaṅgaṇī	《法集論》
Aṭṭhakathā	《義註》
lokījhāna	世間禪那
lokuttarājhāna	出世間禪那
dukkhapaṭipadaṃ dandhābhiññaṃ	苦行道遲通達
paṭipadā	行道次第
suddhikanaya	純觀方法
yogāvacara puggala	瑜伽行者
kilesā	煩惱
kammaṭṭhāna	業處
saṅkhāra	行
payoka	加行
dukkhāpaṭipadā	苦行道
vipassanā	毘婆舍那
dandhābhiññaṃ	遲通達
santāna	相續流
vāra	時分
sakiṃ vikkhambhanavāra	一次性鎮伏
dvikkhattuṃ vikkhambhanavāra	二度鎮伏
tikkhattuṃ vikkhambhanavāra	三度鎮伏
catukkhattuṃ vikkhambhanavāra	四度鎮伏
anekakkhattuṃ vikkhambhanavāra	多度鎮伏
sukhapaṭipadā	樂行道
mahābhutadhātu	四大種色
upādārūpa	所造色
nāma	名
rūpanāma	色名
lakkhaṇa	特相
rasa	作用
paccupaṭṭhāna	現起
padaṭṭhāna	近因
pariggaṇhāti / pariggaha	攝受
diṭṭhivisuddhi	見清淨
rūpa pariggaha	攝受色法
arūpa pariggaha	攝受非色法
rūpārūpa pariggaha	攝受色非色法
puggala	個體
sattavā	眾生/ 有情
jīva	靈魂
atta	我
nāmarūpa vavatthāpana / nāmarūpa vavatthānañāṇa	名色差別智
nāmarūpa paricchedañāṇa	名色識別智
paccaya pariggahañāṇa	緣攝受智
kaṅkhāvitaraṇavisuddhi	度疑清淨
paccaya pariggaha	緣攝受
addhāna pariggaha	世攝受
lakkhaṇāni paṭivijjhanto	以智慧透徹了知三相
sammasanañāṇa	思惟智
vipassanañāṇa	觀智
obhāsa	光明
nikanti	欲求
lokuttarakusala	出世間善法
dukkhapaṭipadā dandhābhiññā puggala	苦行道遲通達者
dukkhapaṭipadā khippābhiññā puggala	苦行道速通達者
sukhapaṭipadā dandhābhiññā puggala	樂行道遲通達者
sukhapaṭipadā khippābhiññā puggala	樂行道速通達者
abhiññā	通達
paccuppanna	現在當下
atīta	過去
anāgata	未來
upakkilesa	隨煩惱
udayabbayañāṇa	生滅隨觀智
maggāmaggañāṇadassana-visuddhi	道非道智見清淨
bhaṅgañāṇa	壞滅隨觀智
bhayañāṇa	怖畏現起智
ādīnavañāṇa	過患隨觀智
nibbindañāṇa	厭離隨觀智
muccitukamyatāñāṇa	欲解脫
paṭisaṅkhāñāṇa	審查隨觀智
saṅkhārupekkhāñāṇa	行捨智
anulomañāṇa	隨順智
paṭipadāñāṇadassana-visuddhi	行道智見清淨
ariyamaggañāṇa	聖道智
Ṭīkā	《複註》
ñāṇadassana-visuddhi	智見清淨
abhiññā	通達階位
Mahābuddhavaṃsa	佛陀大傳
Tipiṭaka Paḷi- Myanmar Abhidhāna	三藏巴緬辭典
ghana	密集
santatighana	相續密集
nāmakalāpa	名聚
rūpakalāpa	色聚
paramattha dhamma	究竟法
samūhaghana	組合密集
cakkhuviññāṇa	眼識
sabbacittasādhāraṇa cetasika	遍一切心所
aṭṭhakalāpa rūpa	八法聚
abhidhammā	阿毘達摩
kiccaghana	功用密集
ārammanaghana	所緣密集
paccaya dhamma	緣法
paccayuppana dhamma	緣所生法
purimapacchimānaṃ nirantaratā	前法與後法沒有間隔
phassa	觸
pathavī	地
sabhāva-satti	自性力量
vedanā	受
saññā	想
āpo	水
tejo	火
vāyo	風
kāla	時間
sabhāva	自性特相
kicca	功用
ārammaṇa	所緣
Dhammasaṅgaṇī Mūlaṭīkā	《法集論•根本複註》
Dhammasaṅgaṇī Anuṭīkā	《法集論•隨複註》
anatta	無我
vīthi	心路過程
pañcadvārāvajjana	五門轉向
sampaṭicchana	領受
santīraṇa	推度
ghanavinibbhoga	破除密集
saññā	想
saṃghaṭṭana-kicca	觸碰功用
anubhavana-kicca	領納功用
cakkhudvāravīthi	眼門心路過程
anatta lakkhaṇā	無我相
Nibbānagāminipaṭipadā	《趣向涅槃之道》
rūpaghana	色密集
nāmaghana	名密集
nibbāna	涅槃
dukkhasaccā	苦諦
samudayasaccā	集諦
upādānakkhandhā	五取蘊
sammādiṭṭhiñāṇa	正見智慧
rūpasantati	色法相續流
ruppanasabhāva	色法的變化
vedanākkhandhā	受蘊
saññākkhandhā	想蘊
saṅkhārakkhandhā	行蘊
viññāṇakkhandhā	識蘊
rūpasaññā	色想
anavasesa	無餘
desanā	說示
sukha vedanā	樂受
dukkha vedanā	苦受
somanassa vedanā	悅受
domanassa vedanā	憂受
upekkhā vedanā	捨受
sadda saññā	聲想
gandha saññā	香想
rasa saññā	味想
phoṭṭhabba saññā	觸想
dhamma saññā	法想
cetanā	思
ekaggatā	一境性
jīvita	命根
manasikāra	作意
sotaviññāṇa	耳識
ghānaviññāṇa	鼻識
jihvāviññāṇa	舌識
kāyaviññāṇa	身識
manoviññāṇa	意識
Upatissa	優波帝須
paribbājaka	遊方梵志
Assaji Thera	阿說示長老
ye dhammā hetuppabhavā	諸法從因生
Kolita paribbājaka	果利達梵志
Bāhiyadāruciriya	婆醯
diṭṭhe diṭṭhamattaṃ	見僅僅是見
aggasāvaka	首席弟子
aggasāvaka bodhi ñāṇa	首席弟子的菩提智慧
asaṅkhya	阿僧祇劫
khippābhiñña etadagga	速通達第一
mahāsāvaka	大弟子
paṭisambhidā	無礙解智
paṭisambhidāpatta	阿羅漢聖人
sekkha bhūmi	有學地
asekkha bhūmi	無學地
Ānanda	阿難尊者
Citta	吉大富翁
Dhammika Upāsaka	譚密噶優婆塞
Upāli	優波利富翁
Khujjuttarā Upāsika	庫竹答拉優婆姨 / 堀述多羅
adhigama	證得
pariyatti	學習聖典
savana	聽聞
paripucchā	遍問、質問
padattha	文句
adhippāyattha	文意
pubbayoga	曾經的努力/ 前方便
khandha	蘊
āyatana	處
dhātu	界
saccā	諦
paṭiccasamuppāda	緣起
gatapaccāgatavatta	來回都行持的德行 / 往返任務
anuloma ñāṇa	隨順智
gotarabhū ñāṇa	種姓智
muccitukamyatā ñāṇa	欲解脫智
patisaṅkhā ñāṇa	審查隨觀智
saṅkhārupekkhā ñāṇa	行捨智
sāvaka	普通弟子
aṭṭha paṭisambhidā ñāṇa	義無礙解智
dhamma paṭisambhidā ñāṇa	法無礙解智
attha-dhamma	義法
nirutti Paṭisambhidā ñāṇa	辭無礙解智
paṭibhāna paṭisambhidā ñāṇa	應辯無礙解智
ajjhatta	內
bahiddha	外
oḷārika	粗
sukhuma	細
hīna	劣
paṇīta	勝
santika	近
dūra	遠
vipassana sammādiṭṭhi ñāṇa	觀智正見
udāsīna	不關心
upanissaya	親依止
nirodhasaccā	滅諦
maggasaccā	道諦
tathāgata	如來
mahāsamaṇa	大沙門
Gotama	喬達摩
lakkhaṇa	特相
sabhāva lakkhaṇa	自相
sāmañña lakkhaṇa	共相
namanalakkhaṇa	趨向傾向各各相關所緣的特質
ruppanalakkhaṇa	色法的變化
sammādiṭṭhiñāṇa	正見智慧
rasa	作用
kicca rasa	功能作用
sampatti rasa	成就作用
paccupaṭṭhāna	現起
upaṭṭhānākāra paccupaṭṭhāna	顯現現起
phala paccupaṭṭhāna	果現起
padaṭṭhāna	近因
lakkhaṇādicatukka	《特相等四法篇章》
Visuddhimagga-nissaya	清淨道逐句譯
rūpakkhandhakathā	色蘊篇
dvāra	門
koṭṭhāsa	身分
cittajakalāpa	心生色聚
utujakalāpa	時節生色聚
āhārajiakalāpa	食生色聚
cakkhudvāra	眼門
sotadvāra	耳門
cakkhudasaka-kalāpa	眼十法聚
vaṇṇa	顏色
gandha	香
rasa	味
ojā	食素
cakkhupasāda	眼淨色
kāyadasaka kalāpa	身十法聚
bhāvadasaka kalāpa	性根十法聚
cittaja aṭṭhakalāpa	心生八法聚
utuja aṭṭhakalāpa	時節生八法聚
āhāraja aṭṭhakalāpa	食生八法聚
Mahārahulovāda Sutta	《大教誡羅候羅經》
kakkhaḷa	硬
kharigata	粗糙
sahajāta paccaya	俱生緣
aññamañña paccaya	相互緣
nissaya paccaya	依止緣
kakkhaḷa	硬
paññatti	概念
sasambhāra āpodhātu	俱集起水界 / 俱集水界
lakkhaṇa āpo	相水界 /自相水界 / 特相水界
Mahāṭīkā	《大複註》
dhātu kammaṭṭhāna	界業處
samādhi	定
ānāpāna kammaṭṭhāna	入出息業處
catutthajhāna samādhi	四禪
upacāra samādhi	近行定
appanā samādhi	安止定
sasambhāra pathavīdhātu	俱集起地界
sasambhāra āpodhātu	俱集起水界
sasambhāra tejodhātu	俱集起火界
sasambhāra vāyodhātu	俱集起風界
lakkhaṇa pathavī	相地界
lakkhaṇa āpo	相水界
lakkhaṇa tejo	相火界
lakkhaṇa vāyo	相風界
sahajāta rūpa	俱生色法
utujaojaṭṭhamaka rūpa	時節生食素八法聚
pathavīrasa	地味
āporasa	水味
saṅgaha paccupaṭṭhāna	攝現起
ābandhanalakkhaṇa	結縛相
rūpakāya	色身
usmātejo	暖火 / 暖火界 / 體溫
santappanatejo	間隔性發燒之火
ḍāhatejo	普通發燒的火 / 普通熱病火
jiraṇatejo	老化之火 / 衰老之火
pākaṭajarā	自然的衰老
pācakatejo	消化之火
gahaṇī	消化力
rasa	味汁
rudhira	血
maṃsa	肉
meda	脂肪
nhāru	筋、腱
aṭṭhi	骨
aṭṭhimiñja	骨髓
sukka	精液
samutisaccā	世俗諦
paramatthasaccā	究竟諦
jīvitanavaka kalāpa	命根九法聚
kammajarūpa	業生色
adhicitta	增上心
samatha bhavanā citta	止禪心
vipassana bhāvanā citta	觀禪心
puthujjana	凡夫
sekkha	有學
kusala javana citta	善速行心
paccuppana kusala kamma	現在善業
cittaja rūpa	心生色
sappāya	適宜
utuja rūpa	時節生色法
āhāraja rūpa	食生色法
kammajatejodhātu	業生火界
vitthambhanalakkhaṇa	支撐相
samudīraṇarasa	移動作用/ 使移動的作用
abhinīhāra paccupaṭṭhāna	引發帶動現起？ / 推現起？/以推為現起？
catuja rūpa	四因生色法
viññāttirūpa	表色
Aṭṭhasālinī Aṭṭhakathā	《法集論註》/ 《殊勝義》
manodvārikajavana	意門速行心
iriyāpatharūpa	威儀色
vitthambhana	支撐
cittajavāyodhātu	心生風界
samudīraṇa	移動
kammajavāyodhātu	業生風界
utujavāyodhātu	時節生風界
āhārajavāyodhātu	食生風界
citta-samuṭṭhāna	因心而生的
tisamuṭṭhānikarūpa	三因生色法
